SKU,Month,Year,Units Sold,Unit Price (USD),Revenue (USD),Returns,Return Rate (%)
REF-COM-004,Jul,2024,4,4299.99,17199.96,0,0.0
REF-COM-004,Aug,2024,4,4299.99,17199.96,0,0.0
REF-COM-004,Sep,2024,3,4299.99,12899.97,0,0.0
REF-COM-004,Oct,2024,3,4299.99,12899.97,0,0.0
REF-COM-004,Nov,2024,4,4299.99,17199.96,0,0.0
REF-COM-004,Dec,2024,4,4299.99,17199.96,0,0.0
REF-CMP-005,Jan,2024,20,649.99,12999.8,0,0.0
REF-CMP-005,Feb,2024,21,649.99,13649.79,0,0.0
REF-CMP-005,Mar,2024,18,649.99,11699.82,0,0.0
REF-CMP-005,Apr,2024,23,649.99,14949.77,0,0.0
REF-CMP-005,May,2024,23,649.99,14949.77,0,0.0
REF-CMP-005,Jun,2024,24,649.99,15599.76,0,0.0
REF-CMP-005,Jul,2024,28,649.99,18199.72,1,3.57
REF-CMP-005,Aug,2024,28,649.99,18199.72,0,0.0
REF-CMP-005,Sep,2024,23,649.99,14949.77,0,0.0
REF-CMP-005,Oct,2024,24,649.99,15599.76,0,0.0
REF-CMP-005,Nov,2024,23,649.99,14949.77,0,0.0
REF-CMP-005,Dec,2024,28,649.99,18199.72,0,0.0
WM-FL-001,Jan,2024,20,1299.99,25999.8,0,0.0
WM-FL-001,Feb,2024,21,1299.99,27299.79,0,0.0
WM-FL-001,Mar,2024,19,1299.99,24699.81,0,0.0
WM-FL-001,Apr,2024,20,1299.99,25999.8,0,0.0
WM-FL-001,May,2024,27,1299.99,35099.73,1,3.7
WM-FL-001,Jun,2024,27,1299.99,35099.73,0,0.0
WM-FL-001,Jul,2024,32,1299.99,41599.68,1,3.12
WM-FL-001,Aug,2024,24,1299.99,31199.76,0,0.0
WM-FL-001,Sep,2024,22,1299.99,28599.78,0,0.0
WM-FL-001,Oct,2024,24,1299.99,31199.76,0,0.0
WM-FL-001,Nov,2024,25,1299.99,32499.75,0,0.0
WM-FL-001,Dec,2024,27,1299.99,35099.73,1,3.7
WM-TL-002,Jan,2024,26,799.99,20799.74,0,0.0
WM-TL-002,Feb,2024,28,799.99,22399.72,1,3.57
WM-TL-002,Mar,2024,29,799.99,23199.71,0,0.0
WM-TL-002,Apr,2024,37,799.99,29599.63,1,2.7
WM-TL-002,May,2024,36,799.99,28799.64,1,2.78
WM-TL-002,Jun,2024,37,799.99,29599.63,0,0.0
WM-TL-002,Jul,2024,41,799.99,32799.59,1,2.44
WM-TL-002,Aug,2024,37,799.99,29599.63,0,0.0
WM-TL-002,Sep,2024,32,799.99,25599.68,1,3.12
WM-TL-002,Oct,2024,31,799.99,24799.69,1,3.23
WM-TL-002,Nov,2024,41,799.99,32799.59,0,0.0
WM-TL-002,Dec,2024,39,799.99,31199.61,1,2.56
WM-FL-003,Jan,2024,36,599.99,21599.64,0,0.0
WM-FL-003,Feb,2024,46,599.99,27599.54,1,2.17
WM-FL-003,Mar,2024,45,599.99,26999.55,1,2.22
WM-FL-003,Apr,2024,52,599.99,31199.48,1,1.92
WM-FL-003,May,2024,48,599.99,28799.52,1,2.08
WM-FL-003,Jun,2024,58,599.99,34799.42,1,1.72
WM-FL-003,Jul,2024,65,599.99,38999.35,2,3.08
WM-FL-003,Aug,2024,64,599.99,38399.36,1,1.56
WM-FL-003,Sep,2024,50,599.99,29999.5,1,2.0
WM-FL-003,Oct,2024,53,599.99,31799.47,1,1.89
WM-FL-003,Nov,2024,50,599.99,29999.5,1,2.0
WM-FL-003,Dec,2024,60,599.99,35999.4,1,1.67
WM-XL-004,Jan,2024,2,2199.99,4399.98,0,0.0
WM-XL-004,Feb,2024,2,2199.99,4399.98,0,0.0
WM-XL-004,Mar,2024,2,2199.99,4399.98,0,0.0
WM-XL-004,Apr,2024,3,2199.99,6599.97,0,0.0
WM-XL-004,May,2024,3,2199.99,6599.97,0,0.0
WM-XL-004,Jun,2024,4,2199.99,8799.96,0,0.0
WM-XL-004,Jul,2024,3,2199.99,6599.97,0,0.0
WM-XL-004,Aug,2024,3,2199.99,6599.97,0,0.0
WM-XL-004,Sep,2024,3,2199.99,6599.97,0,0.0
WM-XL-004,Oct,2024,2,2199.99,4399.98,0,0.0
WM-XL-004,Nov,2024,3,2199.99,6599.97,0,0.0
WM-XL-004,Dec,2024,4,2199.99,8799.96,0,0.0
DW-INT-001,Jan,2024,10,1099.99,10999.9,0,0.0
DW-INT-001,Feb,2024,9,1099.99,9899.91,0,0.0
DW-INT-001,Mar,2024,13,1099.99,14299.87,0,0.0
DW-INT-001,Apr,2024,12,1099.99,13199.88,0,0.0
DW-INT-001,May,2024,12,1099.99,13199.88,0,0.0
DW-INT-001,Jun,2024,15,1099.99,16499.85,0,0.0
DW-INT-001,Jul,2024,14,1099.99,15399.86,0,0.0
DW-INT-001,Aug,2024,13,1099.99,14299.87,0,0.0
DW-INT-001,Sep,2024,13,1099.99,14299.87,0,0.0
DW-INT-001,Oct,2024,11,1099.99,12099.89,0,0.0
DW-INT-001,Nov,2024,15,1099.99,16499.85,0,0.0
DW-INT-001,Dec,2024,15,1099.99,16499.85,0,0.0
DW-FS-002,Jan,2024,16,699.99,11199.84,0,0.0
DW-FS-002,Feb,2024,18,699.99,12599.82,0,0.0
DW-FS-002,Mar,2024,18,699.99,12599.82,0,0.0
DW-FS-002,Apr,2024,19,699.99,13299.81,0,0.0
DW-FS-002,May,2024,24,699.99,16799.76,0,0.0
DW-FS-002,Jun,2024,24,699.99,16799.76,0,0.0
DW-FS-002,Jul,2024,24,699.99,16799.76,0,0.0
DW-FS-002,Aug,2024,28,699.99,19599.72,1,3.57
DW-FS-002,Sep,2024,20,699.99,13999.8,0,0.0
DW-FS-002,Oct,2024,20,699.99,13999.8,0,0.0
DW-FS-002,Nov,2024,26,699.99,18199.74,1,3.85
DW-FS-002,Dec,2024,25,699.99,17499.75,0,0.0
DW-CP-003,Jan,2024,27,399.99,10799.73,0,0.0
DW-CP-003,Feb,2024,27,399.99,10799.73,1,3.7
DW-CP-003,Mar,2024,31,399.99,12399.69,0,0.0
DW-CP-003,Apr,2024,34,399.99,13599.66,0,0.0
DW-CP-003,May,2024,35,399.99,13999.65,1,2.86
DW-CP-003,Jun,2024,35,399.99,13999.65,0,0.0
DW-CP-003,Jul,2024,36,399.99,14399.64,1,2.78
DW-CP-003,Aug,2024,35,399.99,13999.65,1,2.86
DW-CP-003,Sep,2024,35,399.99,13999.65,0,0.0
DW-CP-003,Oct,2024,32,399.99,12799.68,0,0.0
DW-CP-003,Nov,2024,35,399.99,13999.65,1,2.86
DW-CP-003,Dec,2024,43,399.99,17199.57,0,0.0
OV-MWO-001,Jan,2024,13,1599.99,20799.87,0,0.0
OV-MWO-001,Feb,2024,12,1599.99,19199.88,0,0.0
OV-MWO-001,Mar,2024,16,1599.99,25599.84,0,0.0
OV-MWO-001,Apr,2024,17,1599.99,27199.83,0,0.0
OV-MWO-001,May,2024,18,1599.99,28799.82,0,0.0
OV-MWO-001,Jun,2024,18,1599.99,28799.82,0,0.0
OV-MWO-001,Jul,2024,23,1599.99,36799.77,0,0.0
OV-MWO-001,Aug,2024,21,1599.99,33599.79,0,0.0
OV-MWO-001,Sep,2024,16,1599.99,25599.84,0,0.0
OV-MWO-001,Oct,2024,16,1599.99,25599.84,0,0.0
OV-MWO-001,Nov,2024,20,1599.99,31999.8,0,0.0
OV-MWO-001,Dec,2024,23,1599.99,36799.77,0,0.0
OV-IND-002,Jan,2024,10,899.99,8999.9,0,0.0
OV-IND-002,Feb,2024,12,899.99,10799.88,0,0.0
OV-IND-002,Mar,2024,12,899.99,10799.88,0,0.0
OV-IND-002,Apr,2024,12,899.99,10799.88,0,0.0
OV-IND-002,May,2024,16,899.99,14399.84,0,0.0
OV-IND-002,Jun,2024,18,899.99,16199.82,0,0.0
OV-IND-002,Jul,2024,15,899.99,13499.85,0,0.0
OV-IND-002,Aug,2024,15,899.99,13499.85,0,0.0
OV-IND-002,Sep,2024,15,899.99,13499.85,0,0.0
OV-IND-002,Oct,2024,15,899.99,13499.85,0,0.0
OV-IND-002,Nov,2024,16,899.99,14399.84,0,0.0
OV-IND-002,Dec,2024,19,899.99,17099.81,0,0.0
OV-GAS-003,Jan,2024,20,449.99,8999.8,0,0.0
OV-GAS-003,Feb,2024,23,449.99,10349.77,0,0.0
OV-GAS-003,Mar,2024,27,449.99,12149.73,0,0.0
OV-GAS-003,Apr,2024,24,449.99,10799.76,0,0.0
OV-GAS-003,May,2024,28,449.99,12599.72,1,3.57
OV-GAS-003,Jun,2024,37,449.99,16649.63,0,0.0
OV-GAS-003,Jul,2024,35,449.99,15749.65,0,0.0
OV-GAS-003,Aug,2024,36,449.99,16199.64,1,2.78
OV-GAS-003,Sep,2024,31,449.99,13949.69,0,0.0
OV-GAS-003,Oct,2024,30,449.99,13499.7,0,0.0
OV-GAS-003,Nov,2024,33,449.99,14849.67,0,0.0
OV-GAS-003,Dec,2024,31,449.99,13949.69,0,0.0
OV-MWV-004,Jan,2024,49,199.99,9799.51,1,2.04
OV-MWV-004,Feb,2024,50,199.99,9999.5,1,2.0
OV-MWV-004,Mar,2024,53,199.99,10599.47,1,1.89
OV-MWV-004,Apr,2024,54,199.99,10799.46,1,1.85
OV-MWV-004,May,2024,55,199.99,10999.45,2,3.64
OV-MWV-004,Jun,2024,71,199.99,14199.29,2,2.82
OV-MWV-004,Jul,2024,77,199.99,15399.23,2,2.6
OV-MWV-004,Aug,2024,66,199.99,13199.34,1,1.52
OV-MWV-004,Sep,2024,63,199.99,12599.37,1,1.59
OV-MWV-004,Oct,2024,55,199.99,10999.45,2,3.64
OV-MWV-004,Nov,2024,68,199.99,13599.32,1,1.47
OV-MWV-004,Dec,2024,69,199.99,13799.31,1,1.45
AC-INV-001,Jan,2024,9,1499.99,13499.91,0,0.0
AC-INV-001,Feb,2024,9,1499.99,13499.91,0,0.0
AC-INV-001,Mar,2024,12,1499.99,17999.88,0,0.0
AC-INV-001,Apr,2024,12,1499.99,17999.88,0,0.0
AC-INV-001,May,2024,12,1499.99,17999.88,0,0.0
AC-INV-001,Jun,2024,12,1499.99,17999.88,0,0.0
AC-INV-001,Jul,2024,14,1499.99,20999.86,0,0.0
AC-INV-001,Aug,2024,14,1499.99,20999.86,0,0.0
AC-INV-001,Sep,2024,12,1499.99,17999.88,0,0.0
AC-INV-001,Oct,2024,11,1499.99,16499.89,0,0.0
AC-INV-001,Nov,2024,13,1499.99,19499.87,0,0.0
AC-INV-001,Dec,2024,13,1499.99,19499.87,0,0.0
AC-STD-002,Jan,2024,15,899.99,13499.85,0,0.0
AC-STD-002,Feb,2024,16,899.99,14399.84,0,0.0
AC-STD-002,Mar,2024,18,899.99,16199.82,0,0.0
AC-STD-002,Apr,2024,17,899.99,15299.83,0,0.0
AC-STD-002,May,2024,18,899.99,16199.82,0,0.0
AC-STD-002,Jun,2024,24,899.99,21599.76,0,0.0
AC-STD-002,Jul,2024,22,899.99,19799.78,0,0.0
AC-STD-002,Aug,2024,20,899.99,17999.8,0,0.0
AC-STD-002,Sep,2024,19,899.99,17099.81,0,0.0
AC-STD-002,Oct,2024,19,899.99,17099.81,0,0.0
AC-STD-002,Nov,2024,21,899.99,18899.79,0,0.0
AC-STD-002,Dec,2024,21,899.99,18899.79,0,0.0
AC-WIN-003,Jan,2024,18,449.99,8099.82,0,0.0
AC-WIN-003,Feb,2024,21,449.99,9449.79,0,0.0
AC-WIN-003,Mar,2024,22,449.99,9899.78,0,0.0
AC-WIN-003,Apr,2024,24,449.99,10799.76,0,0.0
AC-WIN-003,May,2024,28,449.99,12599.72,1,3.57
AC-WIN-003,Jun,2024,31,449.99,13949.69,1,3.23
AC-WIN-003,Jul,2024,34,449.99,15299.66,1,2.94
AC-WIN-003,Aug,2024,30,449.99,13499.7,0,0.0
AC-WIN-003,Sep,2024,28,449.99,12599.72,0,0.0
AC-WIN-003,Oct,2024,27,449.99,12149.73,1,3.7
AC-WIN-003,Nov,2024,27,449.99,12149.73,0,0.0
AC-WIN-003,Dec,2024,29,449.99,13049.71,0,0.0
AC-POR-004,Jan,2024,13,649.99,8449.87,0,0.0
AC-POR-004,Feb,2024,13,649.99,8449.87,0,0.0
AC-POR-004,Mar,2024,13,649.99,8449.87,0,0.0
AC-POR-004,Apr,2024,14,649.99,9099.86,0,0.0
AC-POR-004,May,2024,17,649.99,11049.83,0,0.0
AC-POR-004,Jun,2024,17,649.99,11049.83,0,0.0
AC-POR-004,Jul,2024,20,649.99,12999.8,0,0.0
AC-POR-004,Aug,2024,18,649.99,11699.82,0,0.0
AC-POR-004,Sep,2024,16,649.99,10399.84,0,0.0
AC-POR-004,Oct,2024,15,649.99,9749.85,0,0.0
AC-POR-004,Nov,2024,17,649.99,11049.83,0,0.0
AC-POR-004,Dec,2024,21,649.99,13649.79,0,0.0
SA-BLD-001,Jan,2024,23,249.99,5749.77,0,0.0
SA-BLD-001,Feb,2024,25,249.99,6249.75,0,0.0
SA-BLD-001,Mar,2024,31,249.99,7749.69,1,3.23
SA-BLD-001,Apr,2024,29,249.99,7249.71,1,3.45
SA-BLD-001,May,2024,33,249.99,8249.67,1,3.03
SA-BLD-001,Jun,2024,34,249.99,8499.66,0,0.0
SA-BLD-001,Jul,2024,38,249.99,9499.62,0,0.0
SA-BLD-001,Aug,2024,34,249.99,8499.66,1,2.94
SA-BLD-001,Sep,2024,31,249.99,7749.69,0,0.0
SA-BLD-001,Oct,2024,30,249.99,7499.7,0,0.0
SA-BLD-001,Nov,2024,35,249.99,8749.65,0,0.0
SA-BLD-001,Dec,2024,37,249.99,9249.63,1,2.7
SA-KET-002,Jan,2024,51,79.99,4079.49,1,1.96
SA-KET-002,Feb,2024,55,79.99,4399.45,1,1.82
SA-KET-002,Mar,2024,60,79.99,4799.4,1,1.67
SA-KET-002,Apr,2024,66,79.99,5279.34,1,1.52
SA-KET-002,May,2024,82,79.99,6559.18,2,2.44
SA-KET-002,Jun,2024,92,79.99,7359.08,3,3.26
SA-KET-002,Jul,2024,85,79.99,6799.15,1,1.18
SA-KET-002,Aug,2024,74,79.99,5919.26,2,2.7
SA-KET-002,Sep,2024,84,79.99,6719.16,2,2.38
SA-KET-002,Oct,2024,74,79.99,5919.26,2,2.7
SA-KET-002,Nov,2024,83,79.99,6639.17,3,3.61
SA-KET-002,Dec,2024,99,79.99,7919.01,2,2.02
SA-ROB-003,Jan,2024,12,399.99,4799.88,0,0.0
SA-ROB-003,Feb,2024,13,399.99,5199.87,0,0.0
SA-ROB-003,Mar,2024,16,399.99,6399.84,0,0.0
SA-ROB-003,Apr,2024,18,399.99,7199.82,0,0.0
SA-ROB-003,May,2024,17,399.99,6799.83,0,0.0
SA-ROB-003,Jun,2024,22,399.99,8799.78,0,0.0
SA-ROB-003,Jul,2024,24,399.99,9599.76,1,4.17
SA-ROB-003,Aug,2024,18,399.99,7199.82,0,0.0
SA-ROB-003,Sep,2024,17,399.99,6799.83,0,0.0
SA-ROB-003,Oct,2024,19,399.99,7599.81,0,0.0
SA-ROB-003,Nov,2024,20,399.99,7999.8,0,0.0
SA-ROB-003,Dec,2024,23,399.99,9199.77,0,0.0
SA-IRN-004,Jan,2024,39,69.99,2729.61,1,2.56
SA-IRN-004,Feb,2024,49,69.99,3429.51,1,2.04
SA-IRN-004,Mar,2024,46,69.99,3219.54,2,4.35
SA-IRN-004,Apr,2024,57,69.99,3989.43,1,1.75
SA-IRN-004,May,2024,57,69.99,3989.43,1,1.75
SA-IRN-004,Jun,2024,65,69.99,4549.35,1,1.54
SA-IRN-004,Jul,2024,73,69.99,5109.27,2,2.74
SA-IRN-004,Aug,2024,57,69.99,3989.43,2,3.51
SA-IRN-004,Sep,2024,58,69.99,4059.42,2,3.45
SA-IRN-004,Oct,2024,56,69.99,3919.44,1,1.79
SA-IRN-004,Nov,2024,63,69.99,4409.37,2,3.17
SA-IRN-004,Dec,2024,63,69.99,4409.37,2,3.17
