Claim ID,SKU,Fault Type,Claim Date,Product Age (Months),Status,Service Cost (USD),Resolution Type
WC-1041,REF-COM-004,Power Failure,2024-03-13,15,Resolved,418.75,Part Replacement
WC-1042,REF-COM-004,Display Error,2024-07-11,3,Pending,156.87,Technician Visit
WC-1043,REF-COM-004,Display Error,2024-10-19,10,Pending,245.86,Part Replacement
WC-1044,REF-COM-004,Power Failure,2024-08-12,15,In Progress,270.77,Remote Diagnosis
WC-1045,REF-COM-004,Door Hinge,2024-04-23,15,Resolved,278.72,Part Replacement
WC-1046,REF-COM-004,Compressor Failure,2024-06-24,14,In Progress,332.09,Remote Diagnosis
WC-1047,REF-COM-004,Motor Failure,2024-08-02,13,Resolved,250.92,Unit Exchange
WC-1048,REF-COM-004,Noise Issue,2024-02-17,4,In Progress,56.14,Part Replacement
WC-1049,REF-COM-004,Motor Failure,2024-02-16,14,In Progress,185.42,Remote Diagnosis
WC-1050,REF-COM-004,Control Board Fault,2024-06-28,21,Pending,393.74,Remote Diagnosis
WC-1051,REF-COM-004,Noise Issue,2024-09-02,11,Pending,77.37,Unit Exchange
WC-1052,REF-COM-004,Control Board Fault,2024-07-04,8,Pending,331.56,Technician Visit
WC-1053,REF-COM-004,Motor Failure,2024-12-10,15,Resolved,68.4,Technician Visit
WC-1054,REF-COM-004,Door Hinge,2024-06-14,10,Resolved,147.68,Remote Diagnosis
WC-1055,REF-COM-004,Motor Failure,2024-03-06,19,Resolved,293.8,Remote Diagnosis
WC-1056,REF-COM-004,Seal Leak,2024-08-19,20,Resolved,142.88,Unit Exchange
WC-1057,REF-COM-004,Display Error,2024-11-01,15,In Progress,410.48,Part Replacement
WC-1058,REF-COM-004,Noise Issue,2024-06-19,3,In Progress,305.58,Remote Diagnosis
WC-1059,REF-CMP-005,Display Error,2024-04-13,15,In Progress,92.66,Remote Diagnosis
WC-1060,REF-CMP-005,Door Hinge,2024-10-10,19,Pending,168.09,Remote Diagnosis
WC-1061,REF-CMP-005,Compressor Failure,2024-10-28,9,Pending,361.32,Technician Visit
WC-1062,REF-CMP-005,Noise Issue,2024-05-25,20,Resolved,292.83,Unit Exchange
WC-1063,REF-CMP-005,Seal Leak,2024-10-09,8,Pending,352.23,Part Replacement
WC-1064,REF-CMP-005,Control Board Fault,2024-11-21,21,Resolved,173.57,Remote Diagnosis
WC-1065,REF-CMP-005,Software Bug,2024-06-24,2,Resolved,86.05,Unit Exchange
WC-1066,REF-CMP-005,Temperature Inconsistency,2024-03-07,11,Resolved,364.61,Unit Exchange
WC-1067,REF-CMP-005,Power Failure,2024-05-27,17,Resolved,152.79,Remote Diagnosis
WC-1068,REF-CMP-005,Door Hinge,2024-02-15,10,Resolved,106.3,Part Replacement
WC-1069,REF-CMP-005,Temperature Inconsistency,2024-09-12,22,Resolved,366.27,Technician Visit
WC-1070,WM-FL-001,Control Board Fault,2024-08-12,18,Pending,349.6,Unit Exchange
WC-1071,WM-FL-001,Temperature Inconsistency,2024-11-12,19,Resolved,319.93,Remote Diagnosis
WC-1072,WM-FL-001,Software Bug,2024-09-11,1,Pending,138.55,Technician Visit
WC-1073,WM-FL-001,Noise Issue,2024-12-10,21,Pending,213.32,Part Replacement
WC-1074,WM-FL-001,Compressor Failure,2024-05-16,2,Resolved,88.88,Part Replacement
WC-1075,WM-FL-001,Noise Issue,2024-06-22,13,Pending,328.59,Remote Diagnosis
WC-1076,WM-FL-001,Motor Failure,2024-07-21,19,Resolved,383.48,Remote Diagnosis
WC-1077,WM-FL-001,Compressor Failure,2024-12-12,9,Resolved,227.35,Part Replacement
WC-1078,WM-FL-001,Control Board Fault,2024-11-12,12,Pending,410.68,Unit Exchange
WC-1079,WM-FL-001,Temperature Inconsistency,2024-05-07,2,Resolved,429.6,Remote Diagnosis
WC-1080,WM-FL-001,Seal Leak,2024-11-21,3,Pending,438.44,Technician Visit
WC-1081,WM-TL-002,Motor Failure,2024-10-07,8,Resolved,381.93,Part Replacement
WC-1082,WM-TL-002,Seal Leak,2024-04-11,19,Resolved,365.46,Technician Visit
WC-1083,WM-TL-002,Motor Failure,2024-03-18,9,In Progress,369.41,Technician Visit
WC-1084,WM-TL-002,Compressor Failure,2024-03-01,22,In Progress,365.99,Part Replacement
WC-1085,WM-TL-002,Door Hinge,2024-01-06,19,In Progress,70.96,Remote Diagnosis
WC-1086,WM-TL-002,Control Board Fault,2024-12-03,17,In Progress,229.31,Unit Exchange
WC-1087,WM-TL-002,Software Bug,2024-02-15,17,Pending,138.62,Technician Visit
WC-1088,WM-TL-002,Power Failure,2024-05-15,22,Pending,435.61,Technician Visit
WC-1089,WM-TL-002,Temperature Inconsistency,2024-07-22,16,Resolved,246.11,Remote Diagnosis
WC-1090,WM-TL-002,Control Board Fault,2024-06-20,3,Resolved,76.27,Unit Exchange
WC-1091,WM-TL-002,Software Bug,2024-09-23,20,In Progress,202.36,Unit Exchange
WC-1092,WM-TL-002,Power Failure,2024-10-14,15,Resolved,367.24,Technician Visit
WC-1093,WM-TL-002,Power Failure,2024-12-28,21,Resolved,222.03,Part Replacement
WC-1094,WM-FL-003,Noise Issue,2024-07-14,11,Pending,88.03,Remote Diagnosis
WC-1095,WM-FL-003,Display Error,2024-06-05,11,Pending,419.19,Technician Visit
WC-1096,WM-FL-003,Control Board Fault,2024-02-14,3,Resolved,347.84,Unit Exchange
WC-1097,WM-FL-003,Power Failure,2024-01-19,5,Pending,274.67,Technician Visit
WC-1098,WM-FL-003,Door Hinge,2024-11-25,14,In Progress,397.24,Technician Visit
WC-1099,WM-FL-003,Software Bug,2024-05-12,10,Resolved,281.17,Part Replacement
WC-1100,WM-FL-003,Noise Issue,2024-04-28,5,Resolved,190.05,Unit Exchange
WC-1101,WM-FL-003,Display Error,2024-10-08,4,In Progress,388.06,Technician Visit
WC-1102,WM-FL-003,Display Error,2024-01-06,20,In Progress,331.08,Unit Exchange
WC-1103,WM-FL-003,Door Hinge,2024-01-06,11,Resolved,276.53,Remote Diagnosis
WC-1104,WM-FL-003,Motor Failure,2024-12-21,3,Resolved,86.7,Part Replacement
WC-1105,WM-FL-003,Temperature Inconsistency,2024-08-11,13,Resolved,198.02,Unit Exchange
WC-1106,WM-FL-003,Software Bug,2024-02-02,19,Resolved,112.96,Technician Visit
WC-1107,WM-FL-003,Control Board Fault,2024-05-15,22,Pending,219.61,Remote Diagnosis
WC-1108,WM-FL-003,Display Error,2024-04-25,14,Pending,95.53,Remote Diagnosis
WC-1109,WM-FL-003,Display Error,2024-11-22,4,Pending,244.65,Unit Exchange
WC-1110,WM-XL-004,Temperature Inconsistency,2024-10-02,8,Resolved,131.77,Part Replacement
WC-1111,WM-XL-004,Display Error,2024-05-11,5,Resolved,53.09,Remote Diagnosis
WC-1112,WM-XL-004,Motor Failure,2024-07-18,6,Pending,142.04,Unit Exchange
WC-1113,WM-XL-004,Temperature Inconsistency,2024-12-02,3,In Progress,57.5,Technician Visit
WC-1114,DW-INT-001,Temperature Inconsistency,2024-10-13,19,Pending,306.06,Unit Exchange
WC-1115,DW-INT-001,Temperature Inconsistency,2024-01-11,4,Resolved,370.53,Remote Diagnosis
WC-1116,DW-INT-001,Door Hinge,2024-02-14,23,Resolved,147.33,Remote Diagnosis
WC-1117,DW-INT-001,Control Board Fault,2024-07-28,17,In Progress,348.32,Part Replacement
WC-1118,DW-INT-001,Motor Failure,2024-02-17,11,Pending,95.61,Part Replacement
WC-1119,DW-INT-001,Door Hinge,2024-12-27,12,Pending,376.01,Part Replacement
WC-1120,DW-INT-001,Motor Failure,2024-05-07,4,Resolved,290.96,Technician Visit
WC-1121,DW-INT-001,Noise Issue,2024-08-25,6,Pending,353.95,Remote Diagnosis
WC-1122,DW-INT-001,Software Bug,2024-11-21,22,Pending,179.28,Unit Exchange
WC-1123,DW-INT-001,Noise Issue,2024-02-16,5,In Progress,302.55,Unit Exchange
WC-1124,DW-INT-001,Compressor Failure,2024-06-17,19,Resolved,174.16,Remote Diagnosis
WC-1125,DW-INT-001,Compressor Failure,2024-06-27,2,In Progress,80.69,Technician Visit
WC-1126,DW-INT-001,Software Bug,2024-09-13,20,In Progress,282.13,Technician Visit
WC-1127,DW-FS-002,Seal Leak,2024-06-20,19,In Progress,250.55,Technician Visit
WC-1128,DW-FS-002,Control Board Fault,2024-06-23,15,Resolved,251.82,Part Replacement
WC-1129,DW-FS-002,Seal Leak,2024-12-15,2,In Progress,259.63,Part Replacement
WC-1130,DW-FS-002,Door Hinge,2024-05-13,12,In Progress,359.79,Technician Visit
WC-1131,DW-FS-002,Door Hinge,2024-02-11,21,Resolved,273.19,Remote Diagnosis
WC-1132,DW-FS-002,Display Error,2024-12-28,10,Pending,435.76,Part Replacement
WC-1133,DW-FS-002,Control Board Fault,2024-10-22,11,Resolved,416.7,Unit Exchange
WC-1134,DW-FS-002,Temperature Inconsistency,2024-03-20,21,Pending,425.2,Unit Exchange
WC-1135,DW-FS-002,Temperature Inconsistency,2024-11-26,18,In Progress,375.27,Technician Visit
WC-1136,DW-FS-002,Temperature Inconsistency,2024-09-12,21,Resolved,195.04,Part Replacement
WC-1137,DW-FS-002,Door Hinge,2024-08-07,7,Resolved,449.99,Part Replacement
WC-1138,DW-FS-002,Display Error,2024-02-17,3,Pending,384.05,Technician Visit
WC-1139,DW-FS-002,Door Hinge,2024-10-05,22,Pending,200.69,Part Replacement
WC-1140,DW-FS-002,Software Bug,2024-03-24,6,In Progress,67.48,Unit Exchange
WC-1141,DW-FS-002,Seal Leak,2024-08-20,22,In Progress,350.96,Remote Diagnosis
WC-1142,DW-FS-002,Power Failure,2024-04-10,8,In Progress,411.59,Part Replacement
WC-1143,DW-FS-002,Software Bug,2024-08-15,12,In Progress,361.25,Remote Diagnosis
WC-1144,DW-CP-003,Software Bug,2024-03-28,7,In Progress,70.87,Remote Diagnosis
WC-1145,DW-CP-003,Power Failure,2024-02-23,12,Pending,390.47,Unit Exchange
WC-1146,DW-CP-003,Motor Failure,2024-05-15,3,Pending,108.94,Remote Diagnosis
WC-1147,DW-CP-003,Seal Leak,2024-08-12,3,Resolved,215.96,Remote Diagnosis
WC-1148,DW-CP-003,Door Hinge,2024-04-13,17,Resolved,199.97,Technician Visit
WC-1149,DW-CP-003,Control Board Fault,2024-12-21,11,In Progress,366.55,Part Replacement
WC-1150,DW-CP-003,Display Error,2024-08-23,2,Resolved,353.54,Remote Diagnosis
WC-1151,DW-CP-003,Software Bug,2024-01-03,15,Resolved,152.37,Part Replacement
WC-1152,OV-MWO-001,Power Failure,2024-07-04,20,In Progress,145.06,Technician Visit
WC-1153,OV-MWO-001,Seal Leak,2024-07-21,2,Pending,232.85,Technician Visit
WC-1154,OV-MWO-001,Software Bug,2024-09-01,16,Pending,256.15,Part Replacement
WC-1155,OV-MWO-001,Motor Failure,2024-05-14,23,Resolved,295.92,Part Replacement
WC-1156,OV-MWO-001,Temperature Inconsistency,2024-03-22,19,Pending,84.25,Unit Exchange
WC-1157,OV-MWO-001,Power Failure,2024-09-17,3,Pending,271.66,Remote Diagnosis
WC-1158,OV-MWO-001,Compressor Failure,2024-11-13,16,In Progress,151.46,Technician Visit
WC-1159,OV-MWO-001,Control Board Fault,2024-06-08,12,Pending,312.84,Technician Visit
WC-1160,OV-MWO-001,Door Hinge,2024-03-02,19,In Progress,268.41,Part Replacement
WC-1161,OV-MWO-001,Noise Issue,2024-12-16,22,Pending,122.91,Part Replacement
WC-1162,OV-MWO-001,Noise Issue,2024-01-10,3,Resolved,67.52,Part Replacement
WC-1163,OV-MWO-001,Door Hinge,2024-05-17,2,In Progress,445.65,Remote Diagnosis
WC-1164,OV-MWO-001,Compressor Failure,2024-11-07,9,In Progress,192.79,Technician Visit
WC-1165,OV-MWO-001,Door Hinge,2024-05-04,21,In Progress,224.78,Remote Diagnosis
WC-1166,OV-MWO-001,Temperature Inconsistency,2024-06-06,15,In Progress,326.83,Unit Exchange
WC-1167,OV-MWO-001,Display Error,2024-02-24,17,In Progress,81.57,Part Replacement
WC-1168,OV-MWO-001,Display Error,2024-06-04,18,Resolved,181.17,Unit Exchange
WC-1169,OV-MWO-001,Noise Issue,2024-10-23,10,In Progress,116.66,Remote Diagnosis
WC-1170,OV-MWO-001,Noise Issue,2024-01-24,12,In Progress,295.94,Remote Diagnosis
WC-1171,OV-MWO-001,Compressor Failure,2024-02-22,9,Pending,212.48,Part Replacement
WC-1172,OV-IND-002,Software Bug,2024-11-26,5,In Progress,63.92,Technician Visit
WC-1173,OV-IND-002,Door Hinge,2024-06-13,8,Pending,62.95,Part Replacement
WC-1174,OV-IND-002,Noise Issue,2024-06-12,22,In Progress,355.23,Part Replacement
WC-1175,OV-GAS-003,Temperature Inconsistency,2024-06-21,12,In Progress,149.84,Technician Visit
WC-1176,OV-GAS-003,Motor Failure,2024-08-17,1,In Progress,415.42,Technician Visit
WC-1177,OV-GAS-003,Display Error,2024-12-15,9,Resolved,448.55,Unit Exchange
WC-1178,OV-GAS-003,Noise Issue,2024-04-04,23,Resolved,391.13,Remote Diagnosis
WC-1179,OV-GAS-003,Noise Issue,2024-02-26,6,Pending,437.02,Unit Exchange
WC-1180,OV-GAS-003,Door Hinge,2024-12-03,22,Pending,266.87,Unit Exchange
WC-1181,OV-GAS-003,Motor Failure,2024-06-17,6,Resolved,98.54,Part Replacement
WC-1182,OV-GAS-003,Seal Leak,2024-08-01,5,In Progress,271.61,Unit Exchange
WC-1183,OV-GAS-003,Power Failure,2024-03-20,15,Resolved,76.3,Remote Diagnosis
WC-1184,OV-GAS-003,Noise Issue,2024-09-14,23,In Progress,379.34,Technician Visit
WC-1185,OV-GAS-003,Door Hinge,2024-11-03,5,In Progress,236.33,Unit Exchange
WC-1186,OV-GAS-003,Power Failure,2024-11-19,5,Resolved,357.11,Part Replacement
WC-1187,OV-GAS-003,Power Failure,2024-01-27,14,Resolved,257.24,Unit Exchange
WC-1188,OV-GAS-003,Motor Failure,2024-06-23,6,Resolved,188.41,Unit Exchange
WC-1189,OV-GAS-003,Display Error,2024-04-21,3,Pending,159.78,Unit Exchange
WC-1190,OV-GAS-003,Power Failure,2024-02-17,20,Pending,117.45,Part Replacement
WC-1191,OV-GAS-003,Software Bug,2024-12-20,6,In Progress,387.01,Technician Visit
WC-1192,OV-GAS-003,Control Board Fault,2024-01-21,1,Pending,155.86,Part Replacement
WC-1193,OV-GAS-003,Temperature Inconsistency,2024-10-21,19,Resolved,249.22,Unit Exchange
WC-1194,OV-MWV-004,Seal Leak,2024-11-13,16,In Progress,231.42,Technician Visit
WC-1195,OV-MWV-004,Noise Issue,2024-07-16,6,In Progress,131.61,Part Replacement
WC-1196,OV-MWV-004,Door Hinge,2024-12-28,11,In Progress,440.15,Part Replacement
WC-1197,OV-MWV-004,Power Failure,2024-09-04,12,In Progress,146.7,Technician Visit
WC-1198,OV-MWV-004,Noise Issue,2024-04-05,9,Resolved,70.24,Remote Diagnosis
WC-1199,OV-MWV-004,Temperature Inconsistency,2024-04-28,20,Resolved,375.39,Unit Exchange
WC-1200,OV-MWV-004,Motor Failure,2024-08-17,7,In Progress,249.5,Unit Exchange
WC-1201,OV-MWV-004,Compressor Failure,2024-02-13,16,Pending,232.89,Part Replacement
WC-1202,OV-MWV-004,Software Bug,2024-06-02,7,Resolved,162.54,Remote Diagnosis
WC-1203,OV-MWV-004,Power Failure,2024-01-28,10,Resolved,222.37,Unit Exchange
WC-1204,OV-MWV-004,Temperature Inconsistency,2024-06-02,12,In Progress,70.46,Part Replacement
WC-1205,OV-MWV-004,Power Failure,2024-05-03,12,In Progress,251.7,Unit Exchange
WC-1206,AC-INV-001,Software Bug,2024-02-05,22,Resolved,207.56,Unit Exchange
WC-1207,AC-INV-001,Door Hinge,2024-03-07,18,Pending,253.65,Technician Visit
WC-1208,AC-INV-001,Compressor Failure,2024-03-23,2,In Progress,371.59,Remote Diagnosis
WC-1209,AC-INV-001,Software Bug,2024-09-05,5,In Progress,422.55,Unit Exchange
WC-1210,AC-INV-001,Temperature Inconsistency,2024-10-24,6,In Progress,287.49,Remote Diagnosis
WC-1211,AC-INV-001,Software Bug,2024-05-16,23,Resolved,197.34,Technician Visit
WC-1212,AC-INV-001,Software Bug,2024-05-26,14,Pending,398.84,Technician Visit
WC-1213,AC-INV-001,Noise Issue,2024-05-21,20,Pending,281.05,Technician Visit
WC-1214,AC-INV-001,Noise Issue,2024-03-17,19,Pending,338.47,Remote Diagnosis
WC-1215,AC-INV-001,Seal Leak,2024-01-19,5,Pending,93.96,Technician Visit
WC-1216,AC-INV-001,Door Hinge,2024-07-05,15,In Progress,326.2,Remote Diagnosis
WC-1217,AC-INV-001,Software Bug,2024-08-28,17,Pending,340.96,Part Replacement
WC-1218,AC-INV-001,Seal Leak,2024-09-11,17,Pending,241.35,Remote Diagnosis
WC-1219,AC-INV-001,Motor Failure,2024-08-18,11,In Progress,268.51,Unit Exchange
WC-1220,AC-INV-001,Noise Issue,2024-04-08,20,In Progress,273.23,Part Replacement
WC-1221,AC-INV-001,Display Error,2024-12-07,10,Pending,332.0,Unit Exchange
WC-1222,AC-INV-001,Door Hinge,2024-09-26,16,Pending,159.38,Technician Visit
WC-1223,AC-INV-001,Power Failure,2024-07-13,19,In Progress,431.84,Part Replacement
WC-1224,AC-INV-001,Compressor Failure,2024-05-23,10,Resolved,188.55,Remote Diagnosis
WC-1225,AC-INV-001,Display Error,2024-12-16,21,Resolved,130.83,Unit Exchange
WC-1226,AC-INV-001,Display Error,2024-03-04,18,Pending,346.36,Part Replacement
WC-1227,AC-INV-001,Compressor Failure,2024-11-17,8,Resolved,305.18,Technician Visit
WC-1228,AC-STD-002,Door Hinge,2024-12-16,14,Resolved,322.48,Part Replacement
WC-1229,AC-STD-002,Power Failure,2024-03-14,1,Pending,424.01,Remote Diagnosis
WC-1230,AC-STD-002,Seal Leak,2024-05-11,16,In Progress,308.36,Technician Visit
WC-1231,AC-STD-002,Software Bug,2024-04-18,21,Pending,339.25,Technician Visit
WC-1232,AC-STD-002,Temperature Inconsistency,2024-03-02,6,In Progress,365.18,Part Replacement
WC-1233,AC-STD-002,Compressor Failure,2024-01-10,10,Pending,291.11,Unit Exchange
WC-1234,AC-WIN-003,Power Failure,2024-09-16,15,Resolved,390.42,Remote Diagnosis
WC-1235,AC-WIN-003,Seal Leak,2024-02-11,9,Resolved,342.45,Unit Exchange
WC-1236,AC-WIN-003,Motor Failure,2024-01-24,23,In Progress,366.31,Part Replacement
WC-1237,AC-WIN-003,Software Bug,2024-11-13,6,In Progress,256.11,Technician Visit
WC-1238,AC-WIN-003,Control Board Fault,2024-03-05,13,In Progress,179.44,Part Replacement
WC-1239,AC-WIN-003,Display Error,2024-07-08,1,In Progress,351.5,Unit Exchange
WC-1240,AC-WIN-003,Software Bug,2024-12-19,10,Resolved,154.62,Unit Exchange
WC-1241,AC-WIN-003,Seal Leak,2024-01-22,23,Resolved,236.16,Part Replacement
WC-1242,AC-WIN-003,Power Failure,2024-12-25,13,In Progress,326.12,Unit Exchange
WC-1243,AC-WIN-003,Software Bug,2024-04-08,12,Resolved,241.27,Remote Diagnosis
WC-1244,AC-WIN-003,Door Hinge,2024-07-23,20,Pending,415.12,Part Replacement
WC-1245,AC-WIN-003,Software Bug,2024-02-17,8,In Progress,261.27,Unit Exchange
WC-1246,AC-POR-004,Control Board Fault,2024-01-27,19,Pending,411.16,Part Replacement
WC-1247,AC-POR-004,Power Failure,2024-03-06,19,In Progress,391.79,Remote Diagnosis
WC-1248,AC-POR-004,Seal Leak,2024-12-19,4,In Progress,86.38,Remote Diagnosis
WC-1249,AC-POR-004,Noise Issue,2024-03-17,2,In Progress,232.72,Technician Visit
WC-1250,AC-POR-004,Noise Issue,2024-11-26,18,In Progress,339.31,Remote Diagnosis
WC-1251,SA-BLD-001,Seal Leak,2024-10-03,1,Resolved,219.48,Technician Visit
WC-1252,SA-BLD-001,Compressor Failure,2024-02-16,18,Resolved,164.84,Part Replacement
WC-1253,SA-BLD-001,Temperature Inconsistency,2024-06-13,5,In Progress,397.85,Remote Diagnosis
WC-1254,SA-BLD-001,Control Board Fault,2024-11-22,13,Pending,103.2,Unit Exchange
WC-1255,SA-BLD-001,Motor Failure,2024-09-13,4,Pending,100.94,Part Replacement
WC-1256,SA-BLD-001,Compressor Failure,2024-05-15,1,Pending,337.64,Remote Diagnosis
WC-1257,SA-BLD-001,Temperature Inconsistency,2024-04-08,18,In Progress,188.46,Unit Exchange
WC-1258,SA-BLD-001,Control Board Fault,2024-01-26,7,Pending,217.7,Technician Visit
WC-1259,SA-BLD-001,Seal Leak,2024-02-04,8,Pending,63.43,Technician Visit
WC-1260,SA-BLD-001,Compressor Failure,2024-07-15,8,Resolved,265.9,Technician Visit
WC-1261,SA-BLD-001,Power Failure,2024-05-08,5,Pending,280.44,Unit Exchange
WC-1262,SA-KET-002,Motor Failure,2024-11-17,10,Resolved,215.42,Unit Exchange
WC-1263,SA-KET-002,Power Failure,2024-10-24,2,Resolved,300.4,Remote Diagnosis
WC-1264,SA-KET-002,Noise Issue,2024-01-12,18,Pending,318.54,Unit Exchange
WC-1265,SA-KET-002,Temperature Inconsistency,2024-07-05,23,In Progress,200.58,Remote Diagnosis
WC-1266,SA-KET-002,Seal Leak,2024-05-28,8,Pending,107.74,Remote Diagnosis
WC-1267,SA-KET-002,Power Failure,2024-07-14,2,Pending,262.0,Remote Diagnosis
WC-1268,SA-KET-002,Display Error,2024-04-11,8,Pending,81.63,Remote Diagnosis
WC-1269,SA-KET-002,Control Board Fault,2024-09-24,12,Resolved,70.61,Remote Diagnosis
WC-1270,SA-KET-002,Software Bug,2024-10-02,22,Resolved,125.27,Part Replacement
WC-1271,SA-KET-002,Seal Leak,2024-06-10,16,Resolved,134.72,Part Replacement
WC-1272,SA-ROB-003,Seal Leak,2024-12-20,16,Pending,131.81,Part Replacement
WC-1273,SA-ROB-003,Door Hinge,2024-05-13,18,In Progress,263.46,Unit Exchange
WC-1274,SA-ROB-003,Display Error,2024-06-17,10,In Progress,236.4,Remote Diagnosis
WC-1275,SA-ROB-003,Seal Leak,2024-06-11,11,In Progress,68.29,Part Replacement
WC-1276,SA-ROB-003,Compressor Failure,2024-05-18,5,Pending,281.66,Remote Diagnosis
WC-1277,SA-ROB-003,Motor Failure,2024-04-11,10,Resolved,201.94,Part Replacement
WC-1278,SA-IRN-004,Door Hinge,2024-05-25,18,In Progress,436.6,Remote Diagnosis
WC-1279,SA-IRN-004,Motor Failure,2024-12-26,15,In Progress,117.71,Remote Diagnosis
WC-1280,SA-IRN-004,Power Failure,2024-11-02,6,Pending,63.53,Technician Visit
WC-1281,SA-IRN-004,Compressor Failure,2024-01-14,22,Resolved,387.02,Part Replacement
WC-1282,SA-IRN-004,Motor Failure,2024-01-07,3,Pending,232.4,Technician Visit
WC-1283,SA-IRN-004,Software Bug,2024-08-22,20,In Progress,56.29,Remote Diagnosis
WC-1284,SA-IRN-004,Compressor Failure,2024-09-24,1,In Progress,264.3,Unit Exchange
WC-1285,SA-IRN-004,Power Failure,2024-12-22,1,In Progress,372.47,Part Replacement
WC-1286,SA-IRN-004,Control Board Fault,2024-09-05,4,Resolved,126.77,Unit Exchange
WC-1287,SA-IRN-004,Display Error,2024-07-03,12,In Progress,433.72,Remote Diagnosis
WC-1288,SA-IRN-004,Seal Leak,2024-12-08,19,In Progress,323.62,Technician Visit
WC-1289,SA-IRN-004,Compressor Failure,2024-02-13,21,In Progress,200.87,Remote Diagnosis
WC-1290,SA-IRN-004,Compressor Failure,2024-12-06,2,Resolved,249.94,Remote Diagnosis
WC-1291,SA-IRN-004,Door Hinge,2024-10-28,21,Resolved,407.92,Technician Visit
WC-1292,SA-IRN-004,Seal Leak,2024-12-19,8,In Progress,158.44,Technician Visit
